name,iso,population,gini,gini-inversed,happyplanet,hdi,worldhappiness,sustainable
Afghanistan,AFG,36000000,-,0,20.2,0.498,2.66,0
Albania,ALB,2900000,29,71,36.8,0.785,4.64,53.1
Algeria,DZA,41000000,35.3,64.7,33.3,0.754,5.25,45.8
Andorra,AND,77000,-,0,0,0.858,0,0
Angola,AGO,30000000,42.7,57.3,0,0.581,0,28.4
Antigua & Barbuda,ATG,102000,-,0,0,0.78,0,0
Argentina,ARG,44000000,41.7,58.3,35.2,0.825,6.04,57.3
Armenia,ARM,3000000,31.5,68.5,25.7,0.755,4.29,51.7
Australia,AUS,25000000,30.3,69.7,21.2,0.939,7.26,78.9
Austria,AUT,9000000,30.5,69.5,30.5,0.908,7.29,80.3
Azerbaijan,AZE,10000000,33.7,66.3,0,0.757,5.15,51.1
Bahamas,BHS,400000,-,0,0,0.807,0,60.4
Bahrain,BHR,1300000,-,0,0,0.846,6.23,63.9
Bangladesh,BGD,165000000,32.1,67.9,38.4,0.608,4.31,35.3
Barbados,BRB,300000,-,0,0,0.8,0,60.8
Belarus,BLR,10000000,26.5,73.5,21.7,0.808,5.55,59.9
Belgium,BEL,11000000,25.9,74.1,23.7,0.916,6.93,77.5
Belize,BLZ,400000,-,0,33.8,0.708,0,48.5
Benin,BEN,11000000,36.5,63.5,13.4,0.515,4.85,34.5
Bhutan,BTN,800000,38.8,61.2,28.6,0.612,0,47.7
Bolivia,BOL,11000000,47,53,23.3,0.693,5.65,44.8
Bosnia and Herzegovina,BIH,3900000,33.8,66.2,25.3,0.768,5.09,50.2
Botswana,BWA,2200000,60.5,39.5,16.6,0.717,3.5,44.1
Brazil,BRA,209000000,49,51,34.3,0.759,6.33,51.6
Brunei,BRN,400000,-,0,0,0.853,0,72.5
Bulgaria,BGR,7000000,40.2,59.8,20.4,0.813,0,59.9
Burkina Faso,BFA,19000000,39.5,60.5,17.9,0.423,4.65,33.4
Burundi,BDI,11000000,42.4,57.6,15.6,0.417,0,28.3
Cabo Verde,CPV,500000,-,0,0,0.654,0,0
Cambodia,KHM,16000000,37.9,62.1,25.6,0.582,4.59,38.5
Cameroon,CMR,24000000,44.6,55.4,16.7,0.556,5.07,32.1
Canada,CAN,37000000,32.1,67.9,23.9,0.926,0,76.9
Central African Republic,CAF,4900000,43.6,56.4,0,0.367,3.48,16.1
Chad,TCD,15000000,43.3,56.7,12.8,0.404,4.56,20.4
Chile,CHL,18000000,50.5,49.5,31.7,0.843,6.32,62.6
China,CHN,1386000000,46.5,53.5,25.7,0.752,5.1,50.8
Colombia,COL,49000000,51.1,48.9,40.7,0.843,6.16,49.1
